ts,temperature,description
2017-11-03 19:00:00,281.3,overcast clouds
2017-11-03 20:00:00,281.78,overcast clouds
2017-11-03 21:00:00,282.14,broken clouds
2017-11-03 22:00:00,281.64,broken clouds
2017-11-03 23:00:00,281.04,broken clouds
2017-11-04 00:00:00,280.69,broken clouds
2017-11-04 01:00:00,279.95,broken clouds
2017-11-04 02:00:00,280.04,scattered clouds
2017-11-04 03:00:00,279.67,few clouds
2017-11-04 04:00:00,279.68,sky is clear
2017-11-04 05:00:00,279.59,sky is clear
2017-11-04 06:00:00,279.41,sky is clear
2017-11-04 07:00:00,279.06,sky is clear
2017-11-04 08:00:00,278.88,sky is clear
2017-11-04 09:00:00,279.34,sky is clear
2017-11-04 10:00:00,279.86,sky is clear
2017-11-04 11:00:00,280.16,broken clouds
2017-11-04 12:00:00,280.15,mist
2017-11-04 13:00:00,279.75,mist
2017-11-04 14:00:00,279.85,light intensity drizzle
2017-11-04 15:00:00,279.75,mist
2017-11-04 16:00:00,279.78,thunderstorm with drizzle
2017-11-04 17:00:00,280.45,proximity thunderstorm
2017-11-04 18:00:00,280.69,light rain
2017-11-04 19:00:00,280.79,mist
2017-11-04 20:00:00,281.15,mist
2017-11-04 21:00:00,281.15,mist
2017-11-04 22:00:00,281.6,mist
2017-11-04 23:00:00,281.87,fog
2017-11-05 00:00:00,282.14,mist
2017-11-05 01:00:00,282.24,moderate rain
2017-11-05 02:00:00,282.77,fog
2017-11-05 03:00:00,283.23,fog
2017-11-05 04:00:00,283.25,light rain
2017-11-05 05:00:00,283.42,moderate rain
2017-11-05 06:00:00,283.23,fog
2017-11-05 07:00:00,283.33,fog
2017-11-05 08:00:00,283.24,light intensity drizzle
2017-11-05 09:00:00,283.25,fog
2017-11-05 10:00:00,283.15,fog
2017-11-05 11:00:00,283.14,fog
2017-11-05 12:00:00,283.14,fog
2017-11-05 13:00:00,283.04,drizzle
2017-11-05 14:00:00,283.05,moderate rain
2017-11-05 15:00:00,283.49,fog
2017-11-05 16:00:00,283.51,proximity thunderstorm
2017-11-05 17:00:00,283.44,light intensity drizzle
2017-11-05 18:00:00,283.88,proximity thunderstorm with rain
2017-11-05 19:00:00,283.44,proximity thunderstorm
2017-11-05 20:00:00,284.05,light rain
2017-11-05 21:00:00,283.88,mist
2017-11-05 22:00:00,283.78,mist
2017-11-05 23:00:00,283.75,overcast clouds
2017-11-06 00:00:00,283.51,overcast clouds
2017-11-06 01:00:00,283.15,overcast clouds
2017-11-06 02:00:00,283.15,overcast clouds
2017-11-06 03:00:00,282.79,overcast clouds
2017-11-06 04:00:00,282.6,overcast clouds
2017-11-06 05:00:00,281.78,overcast clouds
2017-11-06 06:00:00,280.96,overcast clouds
2017-11-06 07:00:00,279.51,overcast clouds
2017-11-06 08:00:00,277.62,overcast clouds
2017-11-06 09:00:00,277.23,broken clouds
2017-11-06 10:00:00,276.14,overcast clouds
2017-11-06 11:00:00,275.11,broken clouds
2017-11-06 12:00:00,274.67,overcast clouds
2017-11-06 13:00:00,273.91,overcast clouds
2017-11-06 14:00:00,273.51,broken clouds
2017-11-06 15:00:00,274.91,broken clouds
2017-11-06 16:00:00,276.01,broken clouds
2017-11-06 17:00:00,277.76,broken clouds
2017-11-06 18:00:00,278.32,broken clouds
2017-11-06 19:00:00,278.32,broken clouds
2017-11-06 20:00:00,278.33,broken clouds
2017-11-06 21:00:00,278.14,sky is clear
2017-11-06 22:00:00,278.82,broken clouds
2017-11-06 23:00:00,277.7,broken clouds
2017-11-07 00:00:00,277.15,scattered clouds
2017-11-07 01:00:00,277.05,broken clouds
2017-11-07 02:00:00,277.24,overcast clouds
2017-11-07 03:00:00,277.24,overcast clouds
2017-11-07 04:00:00,277.63,broken clouds
2017-11-07 05:00:00,277.49,overcast clouds
2017-11-07 06:00:00,277.4,overcast clouds
2017-11-07 07:00:00,277.49,broken clouds
2017-11-07 08:00:00,277.21,overcast clouds
2017-11-07 09:00:00,277.04,scattered clouds
2017-11-07 10:00:00,276.04,broken clouds
2017-11-07 11:00:00,275.63,overcast clouds
2017-11-07 12:00:00,275.33,overcast clouds
2017-11-07 13:00:00,275.33,overcast clouds
2017-11-07 14:00:00,276.49,overcast clouds
2017-11-07 15:00:00,277.75,broken clouds
2017-11-07 16:00:00,279.59,overcast clouds
2017-11-07 17:00:00,280.05,broken clouds
2017-11-07 18:00:00,280.54,broken clouds
2017-11-07 19:00:00,280.24,broken clouds
2017-11-07 20:00:00,280.34,scattered clouds
2017-11-07 21:00:00,280.35,overcast clouds
2017-11-07 22:00:00,279.93,overcast clouds
2017-11-07 23:00:00,279.24,light rain
2017-11-08 00:00:00,277.94,light rain
2017-11-08 01:00:00,277.41,overcast clouds
2017-11-08 02:00:00,275.95,broken clouds
2017-11-08 03:00:00,275.28,broken clouds
2017-11-08 04:00:00,274.55,scattered clouds
2017-11-08 05:00:00,273.23,sky is clear
2017-11-08 06:00:00,272.93,sky is clear
2017-11-08 07:00:00,272.49,sky is clear
2017-11-08 08:00:00,272.12,sky is clear
2017-11-08 09:00:00,271.67,sky is clear
2017-11-08 10:00:00,271.4,sky is clear
2017-11-08 11:00:00,270.84,mist
2017-11-08 12:00:00,271.25,mist
2017-11-08 13:00:00,270.31,mist
2017-11-08 14:00:00,270.93,mist
2017-11-08 15:00:00,273.76,mist
2017-11-08 16:00:00,276.41,sky is clear
2017-11-08 17:00:00,278.05,sky is clear
2017-11-08 18:00:00,279.44,sky is clear
2017-11-08 19:00:00,280.25,sky is clear
2017-11-08 20:00:00,280.94,sky is clear
2017-11-08 21:00:00,280.92,sky is clear
2017-11-08 22:00:00,280.7,sky is clear
2017-11-08 23:00:00,280.26,few clouds
2017-11-09 00:00:00,278.16,sky is clear
2017-11-09 01:00:00,276.34,sky is clear
2017-11-09 02:00:00,275.34,sky is clear
2017-11-09 03:00:00,274.15,sky is clear
2017-11-09 04:00:00,273.06,mist
2017-11-09 05:00:00,273.07,sky is clear
2017-11-09 06:00:00,272.61,sky is clear
2017-11-09 07:00:00,272.98,mist
2017-11-09 08:00:00,273.345,sky is clear
2017-11-09 09:00:00,273.79,sky is clear
2017-11-09 10:00:00,274.25,sky is clear
2017-11-09 11:00:00,274.86,sky is clear
2017-11-09 12:00:00,275.43,overcast clouds
2017-11-09 13:00:00,276.55,broken clouds
2017-11-09 14:00:00,276.95,overcast clouds
2017-11-09 15:00:00,277.59,overcast clouds
2017-11-09 16:00:00,278.59,broken clouds
2017-11-09 17:00:00,280.54,few clouds
2017-11-09 18:00:00,280.55,broken clouds
2017-11-09 19:00:00,280.16,overcast clouds
2017-11-09 20:00:00,279.54,scattered clouds
2017-11-09 21:00:00,279.35,few clouds
2017-11-09 22:00:00,277.33,few clouds
2017-11-09 23:00:00,276.43,scattered clouds
2017-11-10 00:00:00,274.13,sky is clear
2017-11-10 01:00:00,273.5,few clouds
2017-11-10 02:00:00,272.41,few clouds
2017-11-10 03:00:00,271.04,few clouds
2017-11-10 04:00:00,269.33,sky is clear
2017-11-10 05:00:00,268.59,sky is clear
2017-11-10 06:00:00,267.96,overcast clouds
2017-11-10 07:00:00,267.22,overcast clouds
2017-11-10 08:00:00,267.22,overcast clouds
2017-11-10 09:00:00,266.55,overcast clouds
2017-11-10 10:00:00,266.25,light snow
2017-11-10 11:00:00,266.59,light snow
2017-11-10 12:00:00,265.84,light snow
2017-11-10 13:00:00,265.74,light snow
2017-11-10 14:00:00,266.24,light snow
2017-11-10 15:00:00,267.41,light snow
2017-11-10 16:00:00,268.59,mist
2017-11-10 17:00:00,270.06,light intensity drizzle
2017-11-10 18:00:00,270.78,mist
2017-11-10 19:00:00,271.51,mist
2017-11-10 20:00:00,272.05,mist
2017-11-10 21:00:00,272.34,light snow
2017-11-10 22:00:00,272.41,scattered clouds
2017-11-10 23:00:00,271.96,overcast clouds
2017-11-11 00:00:00,270.74,sky is clear
2017-11-11 01:00:00,270.94,broken clouds
2017-11-11 02:00:00,270.6,broken clouds
2017-11-11 03:00:00,270.42,broken clouds
2017-11-11 04:00:00,270.15,broken clouds
2017-11-11 05:00:00,269.87,sky is clear
2017-11-11 06:00:00,269.55,sky is clear
2017-11-11 07:00:00,269.69,sky is clear
2017-11-11 08:00:00,269.735,sky is clear
2017-11-11 09:00:00,269.79,sky is clear
2017-11-11 10:00:00,269.88,scattered clouds
2017-11-11 11:00:00,269.65,broken clouds
2017-11-11 12:00:00,269.86,sky is clear
2017-11-11 13:00:00,269.86,scattered clouds
2017-11-11 14:00:00,270.45,overcast clouds
2017-11-11 15:00:00,270.6,overcast clouds
2017-11-11 16:00:00,271.15,overcast clouds
2017-11-11 17:00:00,272.14,overcast clouds
2017-11-11 18:00:00,273.13,overcast clouds
2017-11-11 19:00:00,273.53,overcast clouds
2017-11-11 20:00:00,274.5,overcast clouds
2017-11-11 21:00:00,275.23,overcast clouds
2017-11-11 22:00:00,275.24,overcast clouds
2017-11-11 23:00:00,275.41,overcast clouds
2017-11-12 00:00:00,275.42,overcast clouds
2017-11-12 01:00:00,275.59,overcast clouds
2017-11-12 02:00:00,275.65,overcast clouds
2017-11-12 03:00:00,275.74,overcast clouds
2017-11-12 04:00:00,275.96,overcast clouds
2017-11-12 05:00:00,275.96,overcast clouds
2017-11-12 06:00:00,275.86,drizzle
2017-11-12 07:00:00,275.87,light rain
2017-11-12 08:00:00,275.65,light rain
2017-11-12 09:00:00,275.69,light rain
2017-11-12 10:00:00,275.55,mist
2017-11-12 11:00:00,275.42,mist
2017-11-12 12:00:00,275.5,mist
2017-11-12 13:00:00,275.55,light rain
2017-11-12 14:00:00,275.69,light rain
2017-11-12 15:00:00,276.14,mist
2017-11-12 16:00:00,276.44,mist
2017-11-12 17:00:00,277.14,light intensity drizzle
2017-11-12 18:00:00,276.85,light snow
2017-11-12 19:00:00,276.75,mist
2017-11-12 20:00:00,276.7,mist
2017-11-12 21:00:00,276.42,drizzle
2017-11-12 22:00:00,276.6,drizzle
2017-11-12 23:00:00,276.51,light rain
2017-11-13 00:00:00,276.33,light rain
2017-11-13 01:00:00,276.15,mist
2017-11-13 02:00:00,276.15,mist
2017-11-13 03:00:00,276.06,mist
2017-11-13 04:00:00,275.96,mist
2017-11-13 05:00:00,275.97,mist
2017-11-13 06:00:00,275.96,mist
2017-11-13 07:00:00,276.05,mist
2017-11-13 08:00:00,275.66,mist
2017-11-13 09:00:00,275.06,mist
2017-11-13 10:00:00,273.89,mist
2017-11-13 11:00:00,273.07,fog
2017-11-13 12:00:00,273.16,fog
2017-11-13 13:00:00,272.06,fog
2017-11-13 14:00:00,272.42,fog
2017-11-13 15:00:00,274.42,haze
2017-11-13 16:00:00,275.76,haze
2017-11-13 17:00:00,277.4,mist
2017-11-13 18:00:00,277.77,mist
2017-11-13 19:00:00,278.04,mist
2017-11-13 20:00:00,278.04,mist
2017-11-13 21:00:00,277.95,mist
2017-11-13 22:00:00,277.77,mist
2017-11-13 23:00:00,277.43,mist
2017-11-14 00:00:00,276.75,haze
2017-11-14 01:00:00,275.96,haze
2017-11-14 02:00:00,275.75,mist
2017-11-14 03:00:00,275.69,mist
2017-11-14 04:00:00,275.33,mist
2017-11-14 05:00:00,274.42,mist
2017-11-14 06:00:00,273.78,mist
2017-11-14 07:00:00,273.24,mist
2017-11-14 08:00:00,272.75,mist
2017-11-14 09:00:00,272.69,fog
2017-11-14 10:00:00,272.24,fog
2017-11-14 11:00:00,272.23,fog
2017-11-14 12:00:00,272.15,fog
2017-11-14 13:00:00,272.32,mist
2017-11-14 14:00:00,273.45,mist
2017-11-14 15:00:00,275.85,mist
2017-11-14 16:00:00,277.23,mist
2017-11-14 17:00:00,280.14,haze
2017-11-14 18:00:00,281.14,haze
2017-11-14 19:00:00,281.32,haze
2017-11-14 20:00:00,281.93,haze
2017-11-14 21:00:00,282.14,haze
2017-11-14 22:00:00,282.23,haze
2017-11-14 23:00:00,282.15,haze
2017-11-15 00:00:00,281.79,overcast clouds
2017-11-15 01:00:00,281.79,overcast clouds
2017-11-15 02:00:00,281.79,overcast clouds
2017-11-15 03:00:00,281.69,overcast clouds
2017-11-15 04:00:00,281.69,overcast clouds
2017-11-15 05:00:00,281.79,overcast clouds
2017-11-15 06:00:00,281.88,overcast clouds
2017-11-15 07:00:00,281.76,overcast clouds
2017-11-15 08:00:00,281.688,overcast clouds
2017-11-15 09:00:00,281.6,light rain
2017-11-15 10:00:00,281.14,moderate rain
2017-11-15 11:00:00,280.71,mist
2017-11-15 12:00:00,280.43,mist
2017-11-15 13:00:00,280.07,mist
2017-11-15 14:00:00,279.88,drizzle
2017-11-15 15:00:00,279.95,mist
2017-11-15 16:00:00,280.15,mist
2017-11-15 17:00:00,280.85,light rain
2017-11-15 18:00:00,281.45,light intensity drizzle
2017-11-15 19:00:00,281.84,light intensity drizzle
2017-11-15 20:00:00,282.97,mist
2017-11-15 21:00:00,283.6,light intensity drizzle
2017-11-15 22:00:00,283.65,mist
2017-11-15 23:00:00,283.06,few clouds
2017-11-16 00:00:00,281.61,sky is clear
2017-11-16 01:00:00,281.05,sky is clear
2017-11-16 02:00:00,278.71,overcast clouds
2017-11-16 03:00:00,275.94,overcast clouds
2017-11-16 04:00:00,274.86,overcast clouds
2017-11-16 05:00:00,274.7,overcast clouds
2017-11-16 06:00:00,274.78,overcast clouds
2017-11-16 07:00:00,274.69,overcast clouds
2017-11-16 08:00:00,274.33,overcast clouds
2017-11-16 09:00:00,273.6,sky is clear
2017-11-16 10:00:00,273.51,sky is clear
2017-11-16 11:00:00,273.36,broken clouds
2017-11-16 12:00:00,273.7,broken clouds
2017-11-16 13:00:00,273.88,overcast clouds
2017-11-16 14:00:00,274.14,overcast clouds
2017-11-16 15:00:00,274.24,overcast clouds
2017-11-16 16:00:00,274.54,overcast clouds
2017-11-16 17:00:00,274.75,overcast clouds
2017-11-16 18:00:00,275.35,overcast clouds
2017-11-16 19:00:00,275.48,overcast clouds
2017-11-16 20:00:00,275.97,overcast clouds
2017-11-16 21:00:00,276.05,overcast clouds
2017-11-16 22:00:00,276.06,overcast clouds
2017-11-16 23:00:00,276.06,overcast clouds
2017-11-17 00:00:00,275.96,overcast clouds
2017-11-17 01:00:00,275.96,overcast clouds
2017-11-17 02:00:00,275.96,overcast clouds
2017-11-17 03:00:00,275.96,overcast clouds
2017-11-17 04:00:00,275.87,overcast clouds
2017-11-17 05:00:00,275.65,overcast clouds
2017-11-17 06:00:00,275.65,overcast clouds
2017-11-17 07:00:00,275.55,overcast clouds
2017-11-17 08:00:00,275.55,overcast clouds
2017-11-17 09:00:00,275.6,overcast clouds
2017-11-17 10:00:00,275.52,overcast clouds
2017-11-17 11:00:00,275.42,scattered clouds
2017-11-17 12:00:00,275.24,mist
2017-11-17 13:00:00,274.7,mist
2017-11-17 14:00:00,274.78,mist
2017-11-17 15:00:00,275.56,haze
2017-11-17 16:00:00,276.32,haze
2017-11-17 17:00:00,277.41,haze
2017-11-17 18:00:00,278.05,overcast clouds
2017-11-17 19:00:00,278.78,overcast clouds
2017-11-17 20:00:00,279.41,moderate rain
2017-11-17 21:00:00,278.79,light intensity drizzle
2017-11-17 22:00:00,278.69,proximity thunderstorm
2017-11-17 23:00:00,278.96,haze
2017-11-18 00:00:00,279.04,light rain
2017-11-18 01:00:00,278.74,thunderstorm with light rain
2017-11-18 02:00:00,279.42,light intensity drizzle
2017-11-18 03:00:00,279.64,mist
2017-11-18 04:00:00,280.54,mist
2017-11-18 05:00:00,281.14,mist
2017-11-18 06:00:00,281.25,drizzle
2017-11-18 07:00:00,281.35,moderate rain
2017-11-18 08:00:00,281.25,light rain
2017-11-18 09:00:00,281.45,light rain
2017-11-18 10:00:00,281.35,moderate rain
2017-11-18 11:00:00,281.03,mist
2017-11-18 12:00:00,281.04,heavy intensity rain
2017-11-18 13:00:00,280.32,proximity thunderstorm with rain
2017-11-18 14:00:00,279.6,mist
2017-11-18 15:00:00,279.43,mist
2017-11-18 16:00:00,278.44,proximity thunderstorm
2017-11-18 17:00:00,277.96,thunderstorm with rain
2017-11-18 18:00:00,277.23,light snow
2017-11-18 19:00:00,276.62,light snow
2017-11-18 20:00:00,275.74,light snow
2017-11-18 21:00:00,276.45,moderate rain
2017-11-18 22:00:00,277.04,light rain
2017-11-18 23:00:00,277.25,light rain
2017-11-19 00:00:00,277.35,overcast clouds
2017-11-19 01:00:00,277.35,overcast clouds
2017-11-19 02:00:00,277.05,overcast clouds
2017-11-19 03:00:00,276.94,overcast clouds
2017-11-19 04:00:00,276.96,overcast clouds
2017-11-19 05:00:00,276.78,overcast clouds
2017-11-19 06:00:00,276.24,overcast clouds
2017-11-19 07:00:00,275.96,overcast clouds
2017-11-19 08:00:00,275.69,overcast clouds
2017-11-19 09:00:00,274.96,overcast clouds
2017-11-19 10:00:00,274.33,overcast clouds
2017-11-19 11:00:00,273.69,overcast clouds
2017-11-19 12:00:00,273.05,overcast clouds
2017-11-19 13:00:00,272.63,overcast clouds
2017-11-19 14:00:00,271.85,scattered clouds
2017-11-19 15:00:00,271.83,broken clouds
2017-11-19 16:00:00,272.41,scattered clouds
2017-11-19 17:00:00,272.7,scattered clouds
2017-11-19 18:00:00,273.5,scattered clouds
2017-11-19 19:00:00,273.97,scattered clouds
2017-11-19 20:00:00,274.35,sky is clear
2017-11-19 21:00:00,274.78,broken clouds
2017-11-19 22:00:00,274.69,broken clouds
2017-11-19 23:00:00,273.96,scattered clouds
2017-11-20 00:00:00,273.24,scattered clouds
2017-11-20 01:00:00,272.78,sky is clear
2017-11-20 02:00:00,271.97,sky is clear
2017-11-20 03:00:00,271.69,sky is clear
2017-11-20 04:00:00,271.42,sky is clear
2017-11-20 05:00:00,271.51,sky is clear
2017-11-20 06:00:00,271.64,sky is clear
2017-11-20 07:00:00,272.33,sky is clear
2017-11-20 08:00:00,272.44,sky is clear
2017-11-20 09:00:00,271.95,sky is clear
2017-11-20 10:00:00,272.32,sky is clear
2017-11-20 11:00:00,272.86,sky is clear
2017-11-20 12:00:00,273.44,sky is clear
2017-11-20 13:00:00,273.31,scattered clouds
2017-11-20 14:00:00,273.94,scattered clouds
2017-11-20 15:00:00,275.43,sky is clear
2017-11-20 16:00:00,277.49,scattered clouds
2017-11-20 17:00:00,279.34,sky is clear
2017-11-20 18:00:00,281.49,scattered clouds
2017-11-20 19:00:00,282.64,sky is clear
2017-11-20 20:00:00,283.75,sky is clear
2017-11-20 21:00:00,284.55,sky is clear
2017-11-20 22:00:00,284.64,scattered clouds
2017-11-20 23:00:00,283.86,scattered clouds
2017-11-21 00:00:00,282.7,few clouds
2017-11-21 01:00:00,281.65,sky is clear
2017-11-21 02:00:00,281.25,sky is clear
2017-11-21 03:00:00,280.98,scattered clouds
2017-11-21 04:00:00,280.16,broken clouds
2017-11-21 05:00:00,279.79,sky is clear
2017-11-21 06:00:00,279.95,sky is clear
2017-11-21 07:00:00,279.81,sky is clear
2017-11-21 08:00:00,279.43,sky is clear
2017-11-21 09:00:00,279.61,sky is clear
2017-11-21 10:00:00,279.52,sky is clear
2017-11-21 11:00:00,279.07,scattered clouds
2017-11-21 12:00:00,278.61,sky is clear
2017-11-21 13:00:00,278.34,sky is clear
2017-11-21 14:00:00,278.51,broken clouds
2017-11-21 15:00:00,279.26,broken clouds
2017-11-21 16:00:00,279.65,moderate rain
2017-11-21 17:00:00,279.26,light rain
2017-11-21 18:00:00,278.55,light rain
2017-11-21 19:00:00,278.15,light rain
2017-11-21 20:00:00,276.98,light rain
2017-11-21 21:00:00,276.04,light rain
2017-11-21 22:00:00,275.77,scattered clouds
2017-11-21 23:00:00,274.74,scattered clouds
2017-11-22 00:00:00,273.54,scattered clouds
2017-11-22 01:00:00,273.24,sky is clear
2017-11-22 02:00:00,272.78,sky is clear
2017-11-22 03:00:00,271.93,few clouds
2017-11-22 04:00:00,271.84,scattered clouds
2017-11-22 05:00:00,270.83,overcast clouds
2017-11-22 06:00:00,270.8,scattered clouds
2017-11-22 07:00:00,269.83,sky is clear
2017-11-22 08:00:00,269.23,scattered clouds
2017-11-22 09:00:00,269.23,overcast clouds
2017-11-22 10:00:00,268.77,sky is clear
2017-11-22 11:00:00,268.29,scattered clouds
2017-11-22 12:00:00,267.52,scattered clouds
2017-11-22 13:00:00,267.44,sky is clear
2017-11-22 14:00:00,267.43,sky is clear
2017-11-22 15:00:00,269.05,sky is clear
2017-11-22 16:00:00,270.24,sky is clear
2017-11-22 17:00:00,271.78,sky is clear
2017-11-22 18:00:00,272.43,few clouds
2017-11-22 19:00:00,273.13,sky is clear
2017-11-22 20:00:00,273.94,few clouds
2017-11-22 21:00:00,274.44,scattered clouds
2017-11-22 22:00:00,274.15,sky is clear
2017-11-22 23:00:00,273.52,sky is clear
2017-11-23 00:00:00,272.61,broken clouds
2017-11-23 01:00:00,272.42,broken clouds
2017-11-23 02:00:00,272.54,overcast clouds
2017-11-23 03:00:00,272.64,broken clouds
2017-11-23 04:00:00,272.23,scattered clouds
2017-11-23 05:00:00,272.05,broken clouds
2017-11-23 06:00:00,272.69,broken clouds
2017-11-23 07:00:00,272.87,overcast clouds
2017-11-23 08:00:00,273.33,overcast clouds
2017-11-23 09:00:00,273.32,overcast clouds
2017-11-23 10:00:00,273.65,overcast clouds
2017-11-23 11:00:00,273.65,overcast clouds
2017-11-23 12:00:00,273.75,overcast clouds
2017-11-23 13:00:00,274.15,overcast clouds
2017-11-23 14:00:00,273.6,overcast clouds
2017-11-23 15:00:00,274.54,broken clouds
2017-11-23 16:00:00,276.14,few clouds
2017-11-23 17:00:00,277.49,few clouds
2017-11-23 18:00:00,278.86,sky is clear
2017-11-23 19:00:00,279.64,sky is clear
2017-11-23 20:00:00,280.59,sky is clear
2017-11-23 21:00:00,281.05,sky is clear
2017-11-23 22:00:00,280.87,sky is clear
2017-11-23 23:00:00,280.05,sky is clear
2017-11-24 00:00:00,277.61,sky is clear
2017-11-24 01:00:00,275.61,sky is clear
2017-11-24 02:00:00,274.86,sky is clear
2017-11-24 03:00:00,274.32,sky is clear
2017-11-24 04:00:00,274.14,mist
2017-11-24 05:00:00,273.69,sky is clear
2017-11-24 06:00:00,274.16,sky is clear
2017-11-24 07:00:00,272.88,sky is clear
2017-11-24 08:00:00,273.07,sky is clear
2017-11-24 09:00:00,273.42,sky is clear
2017-11-24 10:00:00,273.61,sky is clear
2017-11-24 11:00:00,273.69,sky is clear
2017-11-24 12:00:00,274.07,sky is clear
2017-11-24 13:00:00,274.61,sky is clear
2017-11-24 14:00:00,275.06,sky is clear
2017-11-24 15:00:00,277.41,sky is clear
2017-11-24 16:00:00,280.44,few clouds
2017-11-24 17:00:00,282.94,sky is clear
2017-11-24 18:00:00,285.4,sky is clear
2017-11-24 19:00:00,287.5,sky is clear
2017-11-24 20:00:00,289.46,sky is clear
2017-11-24 21:00:00,289.7,sky is clear
2017-11-24 22:00:00,289.76,few clouds
2017-11-24 23:00:00,288.35,few clouds
2017-11-25 00:00:00,286.98,few clouds
2017-11-25 01:00:00,286.26,few clouds
2017-11-25 02:00:00,285.85,few clouds
2017-11-25 03:00:00,285.37,scattered clouds
2017-11-25 04:00:00,284.61,scattered clouds
2017-11-25 05:00:00,283.61,sky is clear
2017-11-25 06:00:00,284.37,scattered clouds
2017-11-25 07:00:00,284.16,scattered clouds
2017-11-25 08:00:00,283.07,sky is clear
2017-11-25 09:00:00,282.6,sky is clear
2017-11-25 10:00:00,281.95,sky is clear
2017-11-25 11:00:00,279.75,sky is clear
2017-11-25 12:00:00,279.42,sky is clear
2017-11-25 13:00:00,278.32,few clouds
2017-11-25 14:00:00,277.77,few clouds
2017-11-25 15:00:00,278.67,sky is clear
2017-11-25 16:00:00,280.24,sky is clear
2017-11-25 17:00:00,281.05,few clouds
2017-11-25 18:00:00,281.86,few clouds
2017-11-25 19:00:00,282.58,sky is clear
2017-11-25 20:00:00,282.84,sky is clear
2017-11-25 21:00:00,283.14,sky is clear
2017-11-25 22:00:00,282.34,sky is clear
2017-11-25 23:00:00,281.34,sky is clear
2017-11-26 00:00:00,279.76,sky is clear
2017-11-26 01:00:00,278.55,sky is clear
2017-11-26 02:00:00,278.24,sky is clear
2017-11-26 03:00:00,277.64,sky is clear
2017-11-26 04:00:00,276.64,sky is clear
2017-11-26 05:00:00,276.24,sky is clear
2017-11-26 06:00:00,275.25,sky is clear
2017-11-26 07:00:00,273.86,sky is clear
2017-11-26 08:00:00,273.5,sky is clear
2017-11-26 09:00:00,271.53,sky is clear
2017-11-26 10:00:00,271.36,sky is clear
2017-11-26 11:00:00,270.86,sky is clear
2017-11-26 12:00:00,270.59,few clouds
2017-11-26 13:00:00,269.96,few clouds
2017-11-26 14:00:00,270.16,sky is clear
2017-11-26 15:00:00,271.48,few clouds
2017-11-26 16:00:00,274.58,scattered clouds
2017-11-26 17:00:00,276.59,scattered clouds
